,item_name,url,origin_price,colors,prices,version,images,category
32,MacBook Air M3 13.6 inch 8CPU 8GPU 16GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m3-13-6-16gb-256gb-apple-viet-nam,"26,690,000 ₫","['Vàng', 'Xám', 'Bạc', 'Xanh Đen']","['26,690,000 ₫', '26,690,000 ₫', '26,690,000 ₫', '26,690,000 ₫']","13.6"" (16GB/256GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-starlight-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-space-gray-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-sliver-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/18/air-m3-13-inch-midnight-1.png']",MACBOOK
33,MacBook Air M2 13.6 inch 8CPU 8GPU 16GB/256GB - Chính hãng Apple Việt Nam,https://hoanghamobile.com/laptop/macbook-air-m2-13-2022-16gb-256gb-chinh-hang-apple-viet-nam,"39,990,000 ₫","['Vàng', 'Bạc', 'Xám', 'Xanh Đen']","['23,690,000 ₫', '23,690,000 ₫', '23,690,000 ₫', '23,690,000 ₫']","13.6"" (16GB/256GB)","['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/09/21/macbook-m2-vang-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/09/21/macbook-m2-bac-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/09/21/macbook-m2-xam-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/09/21/macbook-m2-xanh-den-1.png']",MACBOOK
34,"Laptop MSI Modern 15 B13M-438VN (i5-1335U/8GB/512GB/15.6""FHD/Win11) - Chính hãng",https://hoanghamobile.com/laptop/laptop-msi-modern-15-b13m-438vn,"14,990,000 ₫",['Đen'],[],,"['https://cdn.hoanghamobile.com/i/preview-np-V2/Uploads/ImageHightlight/4729_laptop-msi-modern-15-b13m-438vn/artboard-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/07/09/b13m-438vn-1.png']",MSI
35,"Laptop MSI Modern 14 C7M- 221VN (R7-7730U/8GB/512GB/14"" FHD/Windows 11) - Chính hãng",https://hoanghamobile.com/laptop/laptop-msi-modern-14-c7m-221vn-chinh-hang,"14,490,000 ₫",['Màu Đen'],[],,"['https://cdn.hoanghamobile.com/i/preview-np-V2/Uploads/ImageHightlight/3875_laptop-msi-modern-14-c7m-221vn-chinh-hang/artboard-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2023/10/24/msi-modern-14-c7m-1.png']",MSI
36,"Laptop Gaming MSI Cyborg 15 A12VF-267VN (i7-12650H/8GB/512GB/RTX 4060/15.6"" FHD 144Hz/Windows 11) - Chính hãng",https://hoanghamobile.com/laptop/laptop-gaming-msi-cyborg-15-a12vf-267vn-chinh-hang,"30,490,000 ₫",['Màu Đen'],[],,"['https://cdn.hoanghamobile.com/i/preview-np-V2/Uploads/ImageHightlight/3496_laptop-gaming-msi-cyborg-15-a12vf-267vn-chinh-hang/artboard-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2023/07/05/a12vf-267vn-1.png']",MSI
37,"Laptop MSI Katana 15 B13VFK-676VN (i7-13620H/16GB/1TB/RTX 4060/15.6"" FHD 144Hz/Windows 11/Ba lô) - Chính hãng",https://hoanghamobile.com/laptop/laptop-msi-katana-15-b13vfk-676vn-chinh-hang,"36,990,000 ₫",['Màu Đen'],[],,"['https://cdn.hoanghamobile.com/i/preview-np-V2/Uploads/ImageHightlight/4144_laptop-msi-katana-15-b13vfk-676vn-chinh-hang/artboard-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/02/16/katana-15-b13v.png']",MSI
38,"Laptop MSI Modern 15 B12MO-625VN - (i5-1235U/8GB/512GB/15.6"" FHD/Windows 11) - Chính hãng",https://hoanghamobile.com/laptop/laptop-msi-modern-15-b12mo-625vn-chinh-hang,"13,990,000 ₫",['Màu Đen'],[],,"['https://cdn.hoanghamobile.com/i/preview-np-V2/Uploads/ImageHightlight/4187_laptop-msi-modern-15-b12mo-625vn-chinh-hang/artboard-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/02/23/msi-modern-15-black.png']",MSI
39,"Laptop MSI Modern 14 C13M-608VN (i5-1335U/16GB/512GB/14"" FHD/Win 11) - Chính hãng",https://hoanghamobile.com/laptop/laptop-msi-modern-14-c13m-608vn,"19,990,000 ₫",['Đen'],[],,"['https://cdn.hoanghamobile.com/i/preview-np-V2/Uploads/ImageHightlight/4728_laptop-msi-modern-14-c13m-608vn/artboard-1.png', 'https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/07/09/c13m-608vn-1.png']",MSI
40,"Laptop MSI Gaming Cyborg 14 A13UDX-099VN (i7-13620H/16GB/512GB/RTX3050/14"" FHD/RTX3050/Win 11/Balo)",https://hoanghamobile.com/laptop/laptop-msi-gaming-cyborg-14-a13udx-099vn,"25,690,000 ₫",['Đen'],[],,['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/07/a13udx-099vn-1.jpg'],MSI
41,"Laptop MSI Modern 15 A11M-099VN (i5-1135G7/8GB/512GB/15.6""FHD/Win 10/Đen) - Chính hãng",https://hoanghamobile.com/laptop/laptop-msi-modern-15-a11m-099vn,"31,490,000 ₫",['Xám'],[],,['https://cdn.hoanghamobile.com/i/previewV2/Uploads/2024/11/07/a11m-099vn-1.jpg'],MSI
